# 改良版(長笛運用)で後半に適用した検出結果。前半学習→p>=0.70採用。
# mm:ss	seconds	f0(Hz)	label	verified	note
0:01.71	1.71	2004	whistle	auto	p=0.94
1:41.91	101.91	2086	whistle	auto	p=0.96
2:01.83	121.83	1875	whistle	auto	p=1.00
4:24.51	264.51	2133	whistle	auto	p=0.91
6:18.73	378.73	2098	whistle	auto	p=0.96
6:44.20	404.20	2062	whistle	auto	p=1.00
7:34.59	454.59	1875	whistle	auto	p=0.98
8:37.18	517.18	2250	whistle	auto	p=0.98
10:39.04	639.04	1770	whistle	auto	p=0.81
11:04.23	664.23	2227	whistle	auto	p=0.87
11:51.74	711.74	1852	whistle	auto	p=0.87
12:40.28	760.28	1816	whistle	auto	p=0.95
12:47.62	767.62	1980	whistle	auto	p=0.81
15:28.98	928.98	2191	whistle	auto	p=0.99
17:54.75	1074.75	2191	whistle	auto	p=0.93
18:31.27	1111.27	1852	whistle	auto	p=1.00
19:27.47	1167.47	2109	whistle	auto	p=0.71
20:07.68	1207.68	2051	whistle	auto	p=0.75
20:42.41	1242.41	1887	whistle	auto	p=0.94
20:54.17	1254.17	1828	whistle	auto	p=0.76
21:13.47	1273.47	1723	whistle	auto	p=0.84
24:11.18	1451.18	1828	whistle	auto	p=0.96
24:58.22	1498.22	1969	whistle	auto	p=0.95
25:37.15	1537.15	1922	whistle	auto	p=0.83
28:28.52	1708.52	2250	whistle	auto	p=0.90
29:27.74	1767.74	2004	whistle	auto	p=0.99
29:40.76	1780.76	2039	whistle	auto	p=0.98
32:00.85	1920.85	2074	whistle	auto	p=0.98
32:03.99	1923.99	1723	whistle	auto	p=0.97
34:45.80	2085.80	2051	whistle	auto	p=1.00
41:00.65	2460.65	2016	whistle	auto	p=0.95
44:13.82	2653.82	2262	whistle	auto	p=0.99
44:22.66	2662.66	1816	whistle	auto	p=0.99
45:42.46	2742.46	2273	whistle	auto	p=0.83
47:26.51	2846.51	2121	whistle	auto	p=0.81
